line_item_id,identity_time_interval,bill_payer_account_id,usage_account_id,line_item_type,usage_start_date,usage_end_date,product_code,usage_type,operation,availability_zone,resource_id,usage_amount,normalized_usage_amount,currency_code,unblended_rate,unblended_cost,blended_rate,blended_cost,cost_center,team,project,environment
1,2024-01-01T00:00:00Z/2024-01-01T01:00:00Z,123456789012,123456789012,Usage,2024-01-01T00:00:00Z,2024-01-01T01:00:00Z,AmazonEC2,BoxUsage:m5.large,RunInstances,us-east-1a,i-0123456789abcdef0,1.0,1.0,USD,0.096,0.096,0.096,0.096,CC-12345,Engineering,data-platform,prod
2,2024-01-01T01:00:00Z/2024-01-01T02:00:00Z,123456789012,123456789012,Usage,2024-01-01T01:00:00Z,2024-01-01T02:00:00Z,AmazonEC2,BoxUsage:m5.large,RunInstances,us-east-1a,i-0123456789abcdef0,1.0,1.0,USD,0.096,0.096,0.096,0.096,CC-12345,Engineering,data-platform,prod
3,2024-01-01T00:00:00Z/2024-01-01T01:00:00Z,123456789012,123456789012,Usage,2024-01-01T00:00:00Z,2024-01-01T01:00:00Z,AmazonS3,StorageObjectCount,StandardStorage,,s3-bucket-data-lake,1500000,1500000,USD,0.0,0.0,0.0,0.0,CC-12345,Data,data-lake,prod
4,2024-01-01T00:00:00Z,123456789012,123456789012,Usage,2024-01-01T00:00:00Z,2024-01-02T00:00:00Z,AmazonS3,TimedStorage-ByteHrs,StandardStorage,,s3-bucket-data-lake,10995116277760.0,10995116277760.0,USD,0.000000031944,351.21,0.000000031944,351.21,CC-12345,Data,data-lake,prod
5,2024-01-01T00:00:00Z/2024-01-01T01:00:00Z,123456789012,123456789012,Usage,2024-01-01T00:00:00Z,2024-01-01T01:00:00Z,AmazonS3,Requests-Tier1,GetObject,,s3-bucket-data-lake,50000,50000,USD,0.0000004,0.02,0.0000004,0.02,CC-12345,Data,data-lake,prod
6,2024-01-01T00:00:00Z/2024-01-01T01:00:00Z,123456789012,123456789012,Usage,2024-01-01T00:00:00Z,2024-01-01T01:00:00Z,AmazonRDS,InstanceUsage:db.m5.large,CreateDBInstance,us-east-1a,db-prod-analytics,1.0,1.0,USD,0.192,0.192,0.192,0.192,CC-12345,Data,analytics,prod
7,2024-01-01T00:00:00Z/2024-01-01T01:00:00Z,123456789012,123456789012,Usage,2024-01-01T00:00:00Z,2024-01-01T01:00:00Z,AWSLambda,Lambda-GB-Second,,,arn:aws:lambda:us-east-1:123456789012:function:etl-processor,1250.5,1250.5,USD,0.0000166667,0.021,0.0000166667,0.021,CC-67890,Data,etl-pipeline,prod
8,2024-01-01T00:00:00Z/2024-01-01T01:00:00Z,123456789012,123456789012,Usage,2024-01-01T00:00:00Z,2024-01-01T01:00:00Z,AWSLambda,Request,,,arn:aws:lambda:us-east-1:123456789012:function:etl-processor,2500,2500,USD,0.0000002,0.0005,0.0000002,0.0005,CC-67890,Data,etl-pipeline,prod
9,2024-01-01T00:00:00Z,123456789012,123456789012,Usage,2024-01-01T00:00:00Z,2024-01-02T00:00:00Z,AmazonDynamoDB,TimedPieceStorage-ByteHrs,StandardStorage,,users-table,107374182400.0,107374182400.0,USD,0.000000034722,3.73,0.000000034722,3.73,CC-12345,Engineering,api-backend,prod
10,2024-01-01T00:00:00Z/2024-01-01T01:00:00Z,123456789012,123456789012,Usage,2024-01-01T00:00:00Z,2024-01-01T01:00:00Z,AWSGlue,PythonShell-DPUHour,RunJob,,glue-job-daily-etl,2.5,2.5,USD,0.44,1.10,0.44,1.10,CC-67890,Data,etl-pipeline,prod
11,2024-01-01T00:00:00Z/2024-01-01T01:00:00Z,123456789012,123456789012,Usage,2024-01-01T00:00:00Z,2024-01-01T01:00:00Z,AmazonAthena,DataScanned-Bytes,Query,,query-12345,52428800000,52428800000,USD,0.000000005,0.26,0.000000005,0.26,CC-67890,Data,analytics,prod
12,2024-01-01T00:00:00Z/2024-01-01T01:00:00Z,123456789012,123456789012,RIFee,2024-01-01T00:00:00Z,2024-01-01T01:00:00Z,AmazonEC2,HeavyUsage:m5.xlarge,,us-east-1,ri-0123456789abcdef0,1.0,1.0,USD,0.086,0.086,0.086,0.086,CC-12345,Engineering,data-platform,prod
13,2024-01-02T00:00:00Z/2024-01-02T01:00:00Z,123456789012,123456789012,Usage,2024-01-02T00:00:00Z,2024-01-02T01:00:00Z,AmazonEC2,BoxUsage:m5.large,RunInstances,us-east-1a,i-0123456789abcdef0,1.0,1.0,USD,0.096,0.096,0.096,0.096,CC-12345,Engineering,data-platform,prod
14,2024-01-02T00:00:00Z/2024-01-02T01:00:00Z,123456789012,123456789012,Usage,2024-01-02T00:00:00Z,2024-01-02T01:00:00Z,AmazonEC2,SpotUsage:c5.2xlarge,RunInstances:SV032,us-east-1b,i-9876543210fedcba0,1.0,1.0,USD,0.102,0.102,0.102,0.102,CC-67890,Data,batch-processing,dev
15,2024-01-02T00:00:00Z,123456789012,123456789012,Usage,2024-01-02T00:00:00Z,2024-01-03T00:00:00Z,AmazonS3,TimedStorage-ByteHrs,StandardIAStorage,,s3-bucket-archives,5497558138880.0,5497558138880.0,USD,0.000000017361,95.42,0.000000017361,95.42,CC-12345,Data,data-lake,prod
16,2024-01-02T00:00:00Z/2024-01-02T01:00:00Z,123456789012,123456789012,Usage,2024-01-02T00:00:00Z,2024-01-02T01:00:00Z,AmazonRDS,InstanceUsage:db.m5.large,CreateDBInstance,us-east-1a,db-prod-analytics,1.0,1.0,USD,0.192,0.192,0.192,0.192,CC-12345,Data,analytics,prod
17,2024-01-02T00:00:00Z/2024-01-02T01:00:00Z,123456789012,123456789012,Usage,2024-01-02T00:00:00Z,2024-01-02T01:00:00Z,AWSLambda,Lambda-GB-Second,,,arn:aws:lambda:us-east-1:123456789012:function:etl-processor,1320.8,1320.8,USD,0.0000166667,0.022,0.0000166667,0.022,CC-67890,Data,etl-pipeline,prod
18,2024-01-02T00:00:00Z/2024-01-02T01:00:00Z,123456789012,123456789012,Usage,2024-01-02T00:00:00Z,2024-01-02T01:00:00Z,AWSLambda,Request,,,arn:aws:lambda:us-east-1:123456789012:function:etl-processor,2650,2650,USD,0.0000002,0.00053,0.0000002,0.00053,CC-67890,Data,etl-pipeline,prod
19,2024-01-03T00:00:00Z/2024-01-03T01:00:00Z,123456789012,123456789012,Usage,2024-01-03T00:00:00Z,2024-01-03T01:00:00Z,AmazonEC2,BoxUsage:m5.large,RunInstances,us-east-1a,i-0123456789abcdef0,1.0,1.0,USD,0.096,0.096,0.096,0.096,CC-12345,Engineering,data-platform,prod
20,2024-01-03T00:00:00Z,123456789012,123456789012,Usage,2024-01-03T00:00:00Z,2024-01-04T00:00:00Z,AmazonDynamoDB,TimedPieceStorage-ByteHrs,StandardStorage,,users-table,107374182400.0,107374182400.0,USD,0.000000034722,3.73,0.000000034722,3.73,CC-12345,Engineering,api-backend,prod
21,2024-01-03T00:00:00Z/2024-01-03T01:00:00Z,123456789012,123456789012,Usage,2024-01-03T00:00:00Z,2024-01-03T01:00:00Z,AWSGlue,PythonShell-DPUHour,RunJob,,glue-job-daily-etl,2.8,2.8,USD,0.44,1.232,0.44,1.232,CC-67890,Data,etl-pipeline,prod
22,2024-01-03T00:00:00Z/2024-01-03T01:00:00Z,123456789012,123456789012,Usage,2024-01-03T00:00:00Z,2024-01-03T01:00:00Z,AmazonAthena,DataScanned-Bytes,Query,,query-67890,48318382080,48318382080,USD,0.000000005,0.24,0.000000005,0.24,CC-67890,Data,analytics,prod
23,2024-01-04T00:00:00Z/2024-01-04T01:00:00Z,123456789012,123456789012,Usage,2024-01-04T00:00:00Z,2024-01-04T01:00:00Z,AmazonEC2,BoxUsage:m5.large,RunInstances,us-east-1a,i-0123456789abcdef0,1.0,1.0,USD,0.096,0.096,0.096,0.096,CC-12345,Engineering,data-platform,prod
24,2024-01-04T00:00:00Z/2024-01-04T01:00:00Z,123456789012,123456789012,Usage,2024-01-04T00:00:00Z,2024-01-04T01:00:00Z,AmazonEC2,SpotUsage:c5.2xlarge,RunInstances:SV032,us-east-1b,i-9876543210fedcba0,1.0,1.0,USD,0.098,0.098,0.098,0.098,CC-67890,Data,batch-processing,dev
25,2024-01-04T00:00:00Z/2024-01-04T01:00:00Z,123456789012,123456789012,Usage,2024-01-04T00:00:00Z,2024-01-04T01:00:00Z,AmazonRDS,InstanceUsage:db.m5.large,CreateDBInstance,us-east-1a,db-prod-analytics,1.0,1.0,USD,0.192,0.192,0.192,0.192,CC-12345,Data,analytics,prod
26,2024-01-04T00:00:00Z/2024-01-04T01:00:00Z,123456789012,123456789012,Usage,2024-01-04T00:00:00Z,2024-01-04T01:00:00Z,AWSLambda,Lambda-GB-Second,,,arn:aws:lambda:us-east-1:123456789012:function:api-handler,850.3,850.3,USD,0.0000166667,0.014,0.0000166667,0.014,CC-12345,Engineering,api-backend,prod
27,2024-01-04T00:00:00Z/2024-01-04T01:00:00Z,123456789012,123456789012,Usage,2024-01-04T00:00:00Z,2024-01-04T01:00:00Z,AWSLambda,Request,,,arn:aws:lambda:us-east-1:123456789012:function:api-handler,15000,15000,USD,0.0000002,0.003,0.0000002,0.003,CC-12345,Engineering,api-backend,prod
28,2024-01-05T00:00:00Z,123456789012,123456789012,Usage,2024-01-05T00:00:00Z,2024-01-06T00:00:00Z,AmazonS3,TimedStorage-ByteHrs,GlacierIRByteHrs,,s3-bucket-archives,21990232555520.0,21990232555520.0,USD,0.000000005556,122.17,0.000000005556,122.17,CC-12345,Data,archives,prod
29,2024-01-05T00:00:00Z/2024-01-05T01:00:00Z,123456789012,123456789012,Usage,2024-01-05T00:00:00Z,2024-01-05T01:00:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,us-east-1c,i-abcdef0123456789a,1.0,1.0,USD,0.0416,0.0416,0.0416,0.0416,CC-54321,Engineering,api-backend,dev
30,2024-01-05T00:00:00Z/2024-01-05T01:00:00Z,123456789012,123456789012,Usage,2024-01-05T00:00:00Z,2024-01-05T01:00:00Z,AmazonEC2,BoxUsage:t3.small,RunInstances,us-east-1c,i-fedcba9876543210b,1.0,1.0,USD,0.0208,0.0208,0.0208,0.0208,CC-54321,Engineering,api-backend,test
31,2024-01-06T00:00:00Z,123456789012,123456789012,Usage,2024-01-06T00:00:00Z,2024-01-07T00:00:00Z,AmazonS3,TimedStorage-ByteHrs,DeepArchiveStorage,,s3-bucket-archives,43980465111040.0,43980465111040.0,USD,0.000000001375,60.47,0.000000001375,60.47,CC-12345,Data,archives,prod
32,2024-01-06T00:00:00Z/2024-01-06T01:00:00Z,123456789012,123456789012,Usage,2024-01-06T00:00:00Z,2024-01-06T01:00:00Z,AWSGlue,Crawler-DPUHour,RunCrawler,,glue-crawler-data-lake,0.5,0.5,USD,0.44,0.22,0.44,0.22,CC-67890,Data,data-lake,prod
33,2024-01-07T00:00:00Z/2024-01-07T01:00:00Z,123456789012,123456789012,Usage,2024-01-07T00:00:00Z,2024-01-07T01:00:00Z,AmazonEC2,BoxUsage:m5.xlarge,RunInstances,us-east-1a,i-1111111111111111a,1.0,1.0,USD,0.086,0.086,0.086,0.086,CC-12345,Engineering,data-platform,prod
34,2024-01-07T00:00:00Z/2024-01-07T01:00:00Z,123456789012,123456789012,RIFee,2024-01-07T00:00:00Z,2024-01-07T01:00:00Z,AmazonEC2,HeavyUsage:m5.xlarge,,us-east-1,ri-0123456789abcdef0,1.0,1.0,USD,0.086,0.086,0.086,0.086,CC-12345,Engineering,data-platform,prod
35,2024-01-08T00:00:00Z/2024-01-08T01:00:00Z,123456789012,123456789012,Usage,2024-01-08T00:00:00Z,2024-01-08T01:00:00Z,AmazonEC2,SpotUsage:m5.2xlarge,RunInstances:SV032,us-east-1c,i-2222222222222222b,1.0,1.0,USD,0.115,0.115,0.115,0.115,CC-67890,Data,batch-processing,prod
36,2024-01-08T00:00:00Z/2024-01-08T01:00:00Z,123456789012,123456789012,SavingsPlanCoveredUsage,2024-01-08T00:00:00Z,2024-01-08T01:00:00Z,AmazonEC2,BoxUsage:m5.large,RunInstances,us-east-1a,i-3333333333333333c,1.0,1.0,USD,0.048,0.048,0.048,0.048,CC-12345,Engineering,api-backend,prod
37,2024-01-09T00:00:00Z/2024-01-09T01:00:00Z,123456789012,123456789012,Usage,2024-01-09T00:00:00Z,2024-01-09T01:00:00Z,AmazonRDS,InstanceUsage:db.t3.medium,CreateDBInstance,us-east-1b,db-dev-test,1.0,1.0,USD,0.068,0.068,0.068,0.068,CC-54321,Engineering,api-backend,dev
38,2024-01-09T00:00:00Z,123456789012,123456789012,Usage,2024-01-09T00:00:00Z,2024-01-10T00:00:00Z,AmazonDynamoDB,WriteRequestUnits,PayPerRequestWriteRequestUnits,,orders-table,2500000,2500000,USD,0.00000125,3.125,0.00000125,3.125,CC-12345,Engineering,api-backend,prod
39,2024-01-09T00:00:00Z,123456789012,123456789012,Usage,2024-01-09T00:00:00Z,2024-01-10T00:00:00Z,AmazonDynamoDB,ReadRequestUnits,PayPerRequestReadRequestUnits,,orders-table,12500000,12500000,USD,0.00000025,3.125,0.00000025,3.125,CC-12345,Engineering,api-backend,prod
40,2024-01-10T00:00:00Z/2024-01-10T01:00:00Z,123456789012,123456789012,Usage,2024-01-10T00:00:00Z,2024-01-10T01:00:00Z,AWSLambda,Lambda-Edge-GB-Second,,,arn:aws:lambda:us-east-1:123456789012:function:edge-function,125.5,125.5,USD,0.00001753,0.0022,0.00001753,0.0022,CC-12345,Engineering,cdn,prod
41,2024-01-10T00:00:00Z/2024-01-10T01:00:00Z,123456789012,123456789012,Usage,2024-01-10T00:00:00Z,2024-01-10T01:00:00Z,AmazonCloudFront,DataTransfer-Out-Bytes,CloudFront,,d1234567890abc,10737418240,10737418240,USD,0.085,912.68,0.085,912.68,CC-12345,Engineering,cdn,prod
42,2024-01-11T00:00:00Z/2024-01-11T01:00:00Z,123456789012,123456789012,Usage,2024-01-11T00:00:00Z,2024-01-11T01:00:00Z,AmazonRedshift,Node:dc2.large,RunComputeNode:dw2.HS,us-east-1a,redshift-cluster-prod,2.0,2.0,USD,0.25,0.50,0.25,0.50,CC-67890,Data,warehouse,prod
43,2024-01-12T00:00:00Z/2024-01-12T01:00:00Z,123456789012,123456789012,Usage,2024-01-12T00:00:00Z,2024-01-12T01:00:00Z,AWSELB,LoadBalancerUsage,LoadBalancing,,app/prod-api-alb/50dc6c495c0c9188,1.0,1.0,USD,0.0225,0.0225,0.0225,0.0225,CC-12345,Engineering,api-backend,prod
44,2024-01-12T00:00:00Z/2024-01-12T01:00:00Z,123456789012,123456789012,Usage,2024-01-12T00:00:00Z,2024-01-12T01:00:00Z,AWSELB,LCUUsage,LoadBalancing,,app/prod-api-alb/50dc6c495c0c9188,2.5,2.5,USD,0.008,0.02,0.008,0.02,CC-12345,Engineering,api-backend,prod
45,2024-01-13T00:00:00Z/2024-01-13T01:00:00Z,123456789012,123456789012,Usage,2024-01-13T00:00:00Z,2024-01-13T01:00:00Z,AmazonSNS,Requests-Tier1,DeliverNotifications-HTTP,,topic-alerts,5000,5000,USD,0.0000005,0.0025,0.0000005,0.0025,CC-12345,DevOps,monitoring,prod
46,2024-01-13T00:00:00Z/2024-01-13T01:00:00Z,123456789012,123456789012,Usage,2024-01-13T00:00:00Z,2024-01-13T01:00:00Z,AmazonSQS,Requests-Tier1,,,queue-tasks,1000000,1000000,USD,0.0000004,0.40,0.0000004,0.40,CC-67890,Data,etl-pipeline,prod
47,2024-01-14T00:00:00Z,123456789012,123456789012,Usage,2024-01-14T00:00:00Z,2024-01-15T00:00:00Z,AmazonEC2,EBS:VolumeUsage.gp3,VolumeUsage,,vol-0123456789abcdef0,2400.0,2400.0,USD,0.000109589,0.263,0.000109589,0.263,CC-12345,Engineering,data-platform,prod
48,2024-01-14T00:00:00Z,123456789012,123456789012,Usage,2024-01-14T00:00:00Z,2024-01-15T00:00:00Z,AmazonEC2,EBS:SnapshotUsage,SnapshotUsage,,snap-0123456789abcdef0,1200.0,1200.0,USD,0.000068493,0.082,0.000068493,0.082,CC-12345,Engineering,data-platform,prod
49,2024-01-15T00:00:00Z/2024-01-15T01:00:00Z,123456789012,123456789012,Usage,2024-01-15T00:00:00Z,2024-01-15T01:00:00Z,AmazonECS,Fargate-GB-Hours,FargateMemory,,ecs-task-api,8.0,8.0,USD,0.004445,0.036,0.004445,0.036,CC-12345,Engineering,api-backend,prod
50,2024-01-15T00:00:00Z/2024-01-15T01:00:00Z,123456789012,123456789012,Usage,2024-01-15T00:00:00Z,2024-01-15T01:00:00Z,AmazonECS,Fargate-vCPU-Hours,FargateComputeDuration,,ecs-task-api,2.0,2.0,USD,0.04048,0.081,0.04048,0.081,CC-12345,Engineering,api-backend,prod
